ru,en
заградитель,minelayer
заграждать,"block, bar, obstruct, fence in, enclose"
загранка,"foreign travel, travel abroad"
загребной,stroke
загромождать,"encumber, block up, jam, overload, pack, cram"
загромождение,"blocking up, overloading"
загрубелый,"coarsened, callous"
загрубение,"coarsening, callosity"
загрубеть,coarsen
загружённость,"programme, commitment"
загрунтовывать,"ground, prime"
загрызать,"bite to death, worry to death, worry the life out"
загуляться,"stay out walking, stay out late"
загустить,"thicken, make too thick"
задабривать,"cajole, coax, placate"
задвижной,sliding
задеваться,"get to, disappear, vanish"
заделка,"doing up, closing up, stopping up"
заделывать,"do up, close up"
заделываться,"make oneself, turn"
задёргивать,"draw, pull, shut"
задёргиваться,"be drawn, be puled, be shut"
задеревенелый,"numbed, hardened, stiff"
задетый,affected
задёшево,very cheaply
задненёбный,velar
заднеязычный,"velar, back"
задолжник,debtor
задолжница,debtor
задразнить,tease unmercifully
задраивать,batten down
задрапировывать,"drape, curtain off, hide behind draperies hangings"
задрапировываться,"drape oneself, wrap oneself up"
задрипанный,bedraggled
задубеть,"stiffen, become stiff"
задурманивать,"blunt, dull"
задушевность,sincerity
задыхаясь,breathlessly
заедание,jamming
заездить,"wear out, exhaust by overwork, turn into a drudge"
заездом,"passing through, in transit"
заезженный,"worn out, hard-pressed, hackneyed, trite"
заёмщица,"borrower, debtor"
заесться,"be spoiled, become fastidious about food"
зажаривать,"fry, roast, broil, grill"
зажелтеть,turn yellow
заживляться,"heal, skin over"
зажиливать,fail to return
зажимный,"clamp, clamping"
зажимщик,suppressor
зажор,"ice jam, watercourse under snow"
зазеленить,stain green
заземление,"earth, ground"
заземлять,"earth, ground"
зазимовать,"winter, pass the winter"
зазнаваться,"have a fair opinion of oneself, give oneself airs, think no small beer of oneself"
зазнайка,one who thinks the world of oneself
зазнайство,conceit
зазноба,sweetheart
зазубренный,"notched, jagged, serrate, serrated"
зазубривать,"serrate, notch, learn by rote, learn by heart"
зазубриться,cram too hard
зазыв,pressing invitation
заигранный,"worn out, outworn, dated, hackneyed, trite"
заигрывание,"flirting, flirtation, playing to the gallery"
заигрываться,"play too long, forget oneself, the time, in playing, get lost in"
заимодавец,"creditor, lender"
заимообразно,on credit
заимообразный,"borrowed, taken on credit, lent, loaned"
заискивание,"ingratiation, sycophancy, flattery"
заискивающий,ingratiating
займодержатель,loan-holder
зайчиха,doe-hare
зайчонок,"young hare, leveret"
закабаление,enslavement
закабалять,enslave
закабаляться,tie oneself down
закавказский,Transcaucasian
закавыка,"snag, obstacle, hitch, innuendo"
закавычка,"snag, obstacle, hitch, innuendo"
заказник,reserve
заказчица,"customer, client"
закал,"temper, cast, stamp"
закалывать,"stab, pin, fasten with a pin"
закалываться,stab oneself to death
закапчивать,"blacken with smoke, make sooty, smoke"
закапчиваться,be blackened with smoke
закапываться,"bury oneself, entrench oneself, dig oneself in"
закармливать,"overfeed, feed too much"
закашивать,"mow, scythe"
заквашивать,"ferment, leaven"
закидываться,"fall back, jib, shy"
закисать,"sour, turn sour, vegetate"
закись,protoxide
закладная,mortgage
закладчик,"mortgagor, pawner"
закладчица,"mortgagor, pawner"
закладывание,"putting, laying, pawning, mortgaging"
заклание,"sacrifice, immolation"
заклёвывать,"peck, henpeck, hound"
заклеивать,"glue up, stick up"
заклеймённый,"branded, stigmatized"
заклёпник,riveting hammer
заклёпочник,riveting hammer
заклинатель,exorcist
заклинивать,"wedge, fix with a wedge"
заклиниваться,jam
заклубить,"blow up, puff up"
заковывать,"chain, put into chains, fetter, bind hold down, injure in shoeing"
закодированный,"coded, encoded"
заколдовывать,"enchant, bewitch, charm, cast a spell"
законоведение,jurisprudence
закономерно,"it is in order, it is as it should be, naturally, appropriately, as the natural result"
законопачивать,caulk up
законоположение,statute
законоучитель,religious teacher
законтрактовывать,"contract, enter into a contract, make a contract"
законтрактовываться,"contract to work, hire oneself out"
законченность,"finish, completeness"
закопёрщик,ringleader
закопошиться,"begin to swarm, stir"
закоптелый,"smoky, sooty, smutty, grimy"
закоснелость,"stubborness, impenitence"
закоснелый,"stubborn, impenitent, inveterate, sunk, buried"
закостенелый,"numbed, stiff"
закостенеть,"ossify, grow stiff"
закраина,"edge, flange"
закраснеться,"show red, blush, flush"
закрашивать,"paint, cover with paint"
закрепитель,"fixing agent, fixer"
закрепка,"clip, fastener"
закрепощать,"enslave, make a serf"
закрепощение,"enslaving, turning into a serf, serfdom"
закруглённый,rounded
закручиваться,"twist, become twisted"
закупоривать,"stop up, cork up, shut up"
закупщик,"purchaser, buyer"
закупщица,"purchaser, buyer"
закуриваться,be lit
закурка,"enough tobacco to roll one cigarette, a screw of tobacco"
закут,"sty, shed, store-room"
закута,"sty, shed, store-room"
закутывать,"muffle, wrap up, tuck up"
залаживаться,"get going, be a success"
заласкать,smother in caresses
залегание,"bedding, bed"
заледенелый,"covered with ice, iced over"
залежавшийся,stale
залежалый,stale
залечивать,"heal, cure"
залечиваться,heal
залечиться,doctor oneself to death
заливный,"aspic, fish or meat in aspic"
зализанный,sleek
залогодатель,depositor
залогодержатель,"holder in pawn, mortgagee"
заложение,location
заложница,hostage
залом,"herring, break, fracture"
залупиться,"peel off, flake off"
залучать,"entice, lure, decoy"
заляпывать,"blot, splash, smudge"
замазываться,smear oneself
замалчивание,"ignoring, hushing up"
замарашка,slob
замариновать,pickle
замаскировывать,"mask, disguise, conceal, hide, camouflage"
замаскировываться,"disguise oneself, camouflage"
замасливать,"make oily, make greasy, grease, butter up"
заматерелый,"hardened, inveterate"
заматывать,"roll up, fold up, twist, wind, wear out, tire out"
заматываться,"wind round, be all in, be exhausted"
замачивать,"wet, soak"
замашки,"way, ways, manners, style"
замащивать,pave
замаяться,"be exhausted, be tired out"
замедлитель,delay mechanism
замелить,chalk over
заменимый,replaceable
заместительство,"position of deputy, acting capacity"
замётывать,"baste, tack, sew up"
замечтаться,"indulge oneself in day-dreaming, lose oneself in a dream, be day-dreaming, fall into a reverie"
замешиваться,"get involved, get tangled up, entangled, mix, mingle"
замирять,"pacify, reconcile"
замораживание,"freezing, congealment, congelation"
замораживать,"freeze, anaesthetize"
замороженный,frozen
заморозки,light frosts
замурзанный,slovenly
замуровывать,"brick up, hide"
замусоленный,"soiled, well-thumbed, well-used"
замусоливать,"thumb, bedraggle"
замусориться,be covered with litter
замшеть,be overgrown with moss
замызганный,"filthy, dirty"
замызгиваться,be filthy
замысловатость,intricacy
занавешивать,curtain
занижать,"understate, underestimate, put too low"
занижение,understating
заниженный,understated
занозистый,"meddlesome, quarrelsome"
заносный,"foreign, alien"
заносчивость,"arrogance, insolence, presumption"
занудливый,"boring, dreary"
занумеровывать,number
заозёрный,"on the other side of, the lake"
заострённость,"sharpness, acuteness"
заострять,"sharpen, stress, emphasize"
заостряться,"become pointed, become sharp, be accentuated"
запавший,sunken
западничество,westernism
запаздывание,"delay, procrastination, lagging"
запаивать,solder
запайка,soldering
запаковывать,"pack, wrap up"
запалённый,broken-winded
запальник,igniter
запальчивость,"quick temper, vehemence"
запань,boom
запаривать,"steam, stew"
запарка,rush
запасливость,thriftiness
запасливый,"thrifty, provident"
запахиваться,wrap oneself tighter
запашка,"ploughing, ploughland, arable land"
запев,"solo, introduction"
запеканка,"baked pudding, spiced brandy"
запекаться,"bake, clot, coagulate"
запеленать,swaddle
запенить,froth up
запениться,"begin to foam, begin to froth up, mantle"
запечатлевать,"imprint, impress, engrave, give a memorable description"
запечатывать,seal up
запирательство,"denial, disavowal"
записки,"notes, memoirs, transactions"
заплёванный,"smeared, slimy, covered with spittle, foul, dirty"
заплёскивать,"splash, swamp, spill on"
заплетать,"braid, plait"
запломбировывать,"stop, fill, seal"
заплыв,"race, heat"
заподлицо,flush
заполаскивать,rinse out
заполнитель,"filer, aggregate"
заполонять,"captivate, take captive, enthral, congest"
запотелый,misted over
започивать,retire
заправщик,refueller
самолёт-заправщик,air refueller
запретительный,prohibitive
заприходовать,enter
запродавать,"agree to sell, sell on part-payment, conclude a preliminary bargain, conclude a forward contract"
запродажа,forward contract
запропасть,"get lost, disappear"
запросы,"needs, requirements"
запротоколировать,enter in the minutes
запруживать,"dam, dike, block up, fill to overflowing"
запрягаться,"get down, buckle"
запряжка,"harnessing, team, harness"
запрятывать,"hide, conceal"
запудривать,"cover with powder, powder over"
запустелый,"desolate, neglected"
запутанность,confusion
запухать,be swollen
запушить,cover lightly
запущенность,"neglect, desolation"
запыхтеть,"puff, pant"
запьянствовать,have a bout of hard drinking
зарабатываться,overwork oneself
заравнивать,"level, even up"
заражённость,"infection, contamination"
заражённый,"infected, contaminated"
заразительность,infectiousness
зарвавшийся,"presumptuous, high-handed"
зарекаться,"renounce, promise to give up, make a vow not"
заржавленный,rusty
зарисоваться,"become absorbed, lose track of time, in drawing"
зарисовывать,sketch
зародышевый,embryonic
зарождать,"engender, rouse"
зарокотать,"begin to rumble, resound"
зарубцовываться,cicatrize
заругать,"scold, abuse, tell off"
зарумяниваться,"blush, crimson, brown, turn brown"
заручаться,secure
заручка,"pull, protection"
заряжание,loading
заряжающий,loader
засаживать,"plant, drive, shut, set"
засаливать,"stain with grease, make greasy, salt, pickle, preserve by salting"
засаливаться,"become greasy, stained with grease, become salted"
засахаривать,candy
засев,"sowing, seed, seed-corn, sown area"
засекаться,"overreach, cut, hitch"
засекреченный,"secret, security-guarded, restricted, hush-hush"
засекречивать,"classify as secret, place on secret list, restrict, hush up, admit to secret work, give access to secret documents"
засечка,"notch, cut, mark, intersection, canker"
засим,"hereafter, after this"
засинеть,"chow blue, appear blue"
засинивать,"overblue, cover with blue paint"
заскок,"kink, eccentricity, crazy idea"
заскорузнуть,"become callous, coarsen, harden, stagnate, fall behind"
заследить,"leave dirty footmarks, dirty"
заслушиваться,"listen with delight, listen spellbound"
засматривать,"look, peep"
засмолить,"tar, caulk"
засол,"salting, pickling"
засорение,"obstruction, choking up, clogging up"
засоряться,"be littered up, blocked up, clogged"
заспаться,oversleep
заспиртовывать,preserve in alcohol
заспориться,"go well, be a success"
застеклять,glaze
застилаться,"become dim, dim"
застирывать,"wash off, ruin by washing"
застоговать,stack
застолбить,stake out
застопоривать,"stop, bring to a standstill"
застопориваться,"jam, stop, come to a standstill, be at a standstill"
застраиваться,"be built on, be built over, be lined with buildings"
застрахованный,"insured, immune"
застраховываться,insure oneself
застрачивать,stitch
застращивание,intimidation
застращивать,"intimidate, frighten"
застрельщик,"pioneer, initiator, pace-setter, skirmisher"
застреха,eaves
застрогать,plane down
застроенный,built-up
застуживать,"chill, make cold"
заступница,patrones
заступничество,"intercession, mediation"
застыдить,"shame, make ashamed"
застыдиться,"become confused, blush with shame"
засухоустойчивый,drought-resisting
засучивать,"roll up, tuck up"
засушивать,dry up
засушливый,"arid, drought-afflicted"
засылка,"sending, dispatching, dispatch"
засыпка,"filling up, laying in"
затаивать,harbour
затаптывать,"trample down, trample under foot"
затасканный,"worn, threadbare, hackneyed, worn-out, trite"
затачивать,sharpen
затвердевать,"harden, be hardened"
затверделый,hardened
затвердение,"induration, callosity"
затворница,"recluse, anchoress, hermit"
затворнический,"solitary, secluded"
затворничество,seclusion
затворять,"close, shut"
затворяться,"close, shut, be in retreat, go into retreat"
затейница,"organizer of entertainments, entertainer, joker"
затемнять,"darken, black out, obscure"
затенять,shade
затёсывать,rough-hew
затирать,"jam, give one no chance, soil, make dirty"
затискать,smother with caresses
затискивать,squeeze in
затискиваться,squeeze oneself in
затоваривание,overstocking
затоваривать,overstock with goods
затовариваться,"be overstocked, have a surplus of goods in stock"
затон,"back-water, boat-yard"
затормозиться,slow down
затормошить,"start bothering, bother to death"
заточать,incarcerate
затравка,priming
затрапезный,everyday
затруднительность,"difficulty, straits"
затуманивать,"cloud, dim, fog, befog, obscure, hide"
затуплять,"blunt, dull"
затухание,"attenuation, damping, fading"
затушёвывать,"shade, hide, conceal"
затыкаться,"be stopped up, be corked, shut up"
затыльник,back plate
затюкать,"intimidate, cow"
затянувшийся,"prolonged, protracted"
заумь,nonsense
заупокойный,"mournful, doleful"
зауральский,Trans-Ural
заусенец,"agnail, hangnail, wire-edge, burr"
заусеница,"agnail, hangnail, wire-edge, burr"
заутреня,matins
заутюживать,"press, iron"
заучиваться,swot too hard
заушательство,malevolent criticism
заушница,"mumps, parotitis"
заушный,"behind the ears, parotid"
зафрахтовывать,"freight, charter"
захваливать,"flatter unduly, praise to the skies"
захвастаться,boast immoderately
захватанный,"soiled by handling, thumbed"
захватнический,"aggressive, predatory"
захватчица,"aggressor, invader, usurper"
захламлённый,cluttered up
захламлять,clutter up
захлёбывать,"swallow, take a mouthful"
захребетник,parasite
зацапать,"grab, lay hold"
зацеловать,"cover with kisses, smother with kisses, shower kisses"
зацементировать,"cement, get cemented"
зацеплять,"get hold, hook, engage, gear, catch, sting"
зачаливать,moor
зачарованный,spellbound
зачаровывать,"bewitch, captivate, enchant"
зачаточный,rudimentary
зачёркивать,"cross out, strike out"
зачернеть,appear black
зачерствелость,"staleness, hardness, crustiness"
зачерствелый,"stale, hardened, unfeeling, hard-hearted"
зачертить,shade hatch
зачёсывать,"comb back, smooth by combing"
зачехлять,"cover, put on slip-covers"
зачинатель,"initiator, pioneer, founder, trail-blazer"
зачинить,"mend, patch, sharpen"
зачисляться,join enter
зачищать,"clean out, smooth out"
зачумлённый,infected with plague
зачуять,"scent, smell"
зашвартовать,"moor, tie up"
зашвартоваться,moor
зашвыривать,"throw, fling away, shower"
зашибать,"hurt, bruise, knock, drink hard"
зашибаться,"bruise oneself, knock oneself"
зашифровывать,"cipher, codify, code, put into code"
зашнуровывать,lace up
зашпаклёвывать,putty
зашпиливать,"pin up, fasten with pin"
заштопанный,darned
зашторивать,curtain of
заштукатурить,"plaster, coat with plaster"
защекотать,"torture by tickling, begin to tickle"
защёлкивать,close with a snap
защёлкиваться,"close with a snap, snap to"
защемлять,"jam, pinch, nip"
защипывать,"take, nip, tweak"
заявительница,declarant
звездолётчик,"spaceman, astronaut"
звездообразный,star-shaped
звеньевой,field-team leader
зверёныш,young of wild animal
зверовод,fur-farmer
звероводство,breeding of animals for furs
звероводческий,fur-breeding
зверолов,trapper
звероподобный,"beast-like, bestial"
звероферма,fur farm
зверствовать,commit atrocities
звонница,belfry
звукозаписывающий,sound-recording
звукозапись,sound recording
звукоизоляционный,sound-proof
звукоизоляция,"sound-proofing, sound-insulation"
звукомаскировка,sound camouflage
звукометрия,sound ranging
звуконепроницаемый,sound-proof
звукопроводность,sound conductivity
звукопроводный,sound-conducting
звукопроводящий,sound-conducting
звукопроницаемый,"sound-transmitting, sound-transmission"
звукорежиссёр,sound producer
звукоряд,scale
звукосниматель,"sound receiver, pick-up"
звукосочетание,sound combination
звукоулавливание,"signal-sensoring, sound-ranging"
звукоулавливатель,"sound-locator, sound-ranger"
звучность,"sonorousness, sonority"
здоровила,hefty type
здравница,"health resort, health-centre, sanatorium"
здраво,"reasonably, soundly, sensibly"
здравомыслие,"good sense, judiciousness"
зебу,zebu
зеленить,paint green
зеленщик,greengrocer
зеленя,shoots of winter crops
землеведение,physical geography
землевладелец,landowner
землемер,land surveyor
землемерный,geodetic
землепашество,"tillage, husbandry"
землепашец,"ploughman, tiller"
землепользование,land tenure
землепроходец,"discoverer of hitherto unknown lands, explorer"
землероб,"farmer, ploughman"
землеройка,shrew
землеустройство,organization of the use of land
землечерпалка,"dredger, digger"
земляне,"inhabitants of the Earth, dwellers on the planet Earth"
землячество,friendly association
земщина,"civilian population, zemshchina"
зеница,pupil
зерновидный,granular
зернодробилка,corn-crusher
зернопогрузчик,mechanical grain loader
зерносовхоз,State grain farm
зерносушилка,grain dryer
зернофураж,forage
зернохранилище,granary
зерноядный,granivorous
зигзагообразный,zigzag
зимой,in winter
зимородок,"halcyon, kingfisher"
зимостойкий,"winter-proof, winter, that keeps well in winter"
зимостойкость,"hardiness, resistance to cold"
зияние,"gaping, yawning, hiatus"
зияющий,"gaping, yawning"
злаки,cereals
златоверхий,with roof of gold
златоглавый,"gold-domed, with gold cupolas"
златокрылый,gold-pinioned
златокудрый,golden-haired
златотканый,gold-brocaded
златоуст,silver-tongued orator
златоцвет,"asphodel, ox-eye"
злобствовать,"bear malice, have it in"
злодействовать,act villainously
зложелательный,"malevolent, malignant, spiteful"
злой-презлой,angry as hell
злокозненный,"insidious, crafty, wily"
злонамеренный,ill-intentioned
злонравие,"bad character, depravity"
злонравны,"of bad character, depraved"
злопамятство,"rancour, unforgivingness"
злопыхатель,"malignant person, spiteful critic"
злопыхательский,malevolent
злопыхательство,"malevolence, ranting"
злопыхать,"be malevolent, rant"
злоречивый,speaking with malice
злословие,"malignant gossip, scandal, backbiting"
злословить,"talk scandal, say spiteful things"
злотый,zloty
злоумышленный,"ill-intentioned, with criminal intent"
злоязычие,"slander, backbiting"
злоязычный,slanderous
злыдень,wicked creature
злюка,"malicious creature, shrew"
злючка,"malicious creature, shrew"
змеевидный,"serpentine, sinuous, writhing"
змеевик,"coil, serpentine, ophite"
змеёныш,"young snake, viper"
знаменатель,denominator
знаменосец,standard-bearer
знамёнщик,"carrier of the colours, standard-bearer"
знатность,exalted station
знатность,nobelity
знахарка,"sorceress, wise woman, quack"
знахарство,"sorcery, quackery"
зобастый,"with a large crop craw, goitrous"
зодческий,"Adjective of зодчество, architectonic, architectural"
золение,liming
золить,lime
золотодобытчик,gold-miner
золотоносный,"gold-bearing, auriferous"
золотопромышленник,"gold-miner, owner of gold-mines"
золотопромышленность,gold-mining
золототысячник,centaury
золотошвейный,gold-embroidery
золотуха,scrofula
золочение,gilding
зольник,ashpit
зональный,zone
зондировать,"sound, probe"
зонтичный,"umbrellate, umbrelliferous"
зоогеография,zoogeography
зооморфизм,zoomorphism
зоопланктон,animal plankton
зоопсихология,animal psychology
зоосад,"zoological gardens, zoo"
зоотехник,"animal technician, livestock expert specialist"
зоотехника,zootechnics
зоофиты,zoophytes
зоохимический,zoochemical
зоохимия,zoochemistry
зразы,zrazy
зрительница,"spectator, onlooker, audience, house"
зряшный,"to no purpose, wasted, good-for-nothing, wastrel"
зуав,zouave
зубатка,lancet fish
зубоврачевание,dentistry
зуболечебница,dental surgery
зубоскал,"mocker, scoffer"
зубоскальство,"mockery, scoffing"
зуботычина,sock on the jaw
зубочистка,toothpick
зубрёжка,cramming
зубровка,"sweet-grass, zubrovka"
зубчатка,rack-wheel
зудить,nag
зуёк,plover
зулус,Zulu
зулусский,Zulu
зумпф,"sump, dibhole"
зурна,zurna
зыбиться,"surge, be ruffled, toss"
зыбун,"marshy ground, bog"
зыбучий,"unstable, unsteady"
зыкать,"cut short, speak brusquely curtly, bark"
зюйд,"south, southerly wind"
зюйд-вест,"south-west, southwester"
зюйд-ост,"south-east, southeaster"
зябь,land ploughed in autumn for spring sowing
иберийский,Iberian
ибис,ibis
иван-чай,"willow-herb, fireweed"
иволга,oriole
иглистый,"prickly, covered with needles"
игловидный,needle-shaped
иглодержатель,needleholder
иглокожие,echinodermata
иглообразный,needle-shaped
иглотерапия,acupuncture
иглоукалывание,acupuncture
игольник,needle-case
играный,"used, second-hand"
игреневый,liver-chestnut
игротека,games store
котёнок-игрун,playful kitten
игуменья,Mother-Superior
идеализация,idealization
идеализирование,idealization
идеальность,ideality
идейно-политический,ideological and political
идеограмма,"ideogram, ideograph"
идеографический,ideographic
идеография,ideography
идилличный,idyllic
идиома,"idiom, idiomatic expression"
идиоматизм,"idiom, idiomatic expression"
идиоматика,"study of idioms, idiomatic expressions, idioms"
идиоматический,idiomatic
идиосинкратический,idiosyncratic
идиотический,"idiotic, imbecile"
идиотство,idiocy
идолопоклонник,idolater
идолопоклонничество,idolatry
идолопоклонство,idolatry
иезуитство,"Jesuitism, Jesuitry"
иерей,priest
иероглифический,hieroglyphic
иждивение,maintenance
иждивенка,dependant
иждивенство,dependence
иждивенческий,"Adjective of иждивенец, parasitical"
иждивенчество,"parasitic attitude, parasitic smugness"
избавительница,"deliverer, redeemer"
избач,"izbach, village librarian"
изба-читальня,village library and reading-room
избегаться,exhaust oneself by running
избирательница,voter
изболеться,be in torment
извалять,"make dirty, bedraggle"
изведывать,"experience, come to know"
извергаться,"erupt, be in eruption"
изверженный,"igneous, eruptive"
известковать,lime
изветшалый,dilapidated
извивать,"coil, twist, wind"
извиняющийся,apologetic
извод,"waste, vexation, recension"
изводиться,"consume oneself, exhaust oneself"
извозиться,"be wet, dirty and frayed, be bedraggled"
извращать,"pervert, misinterpret, misconstrue"
извращённый,"perverted, unnatural"
извращённый,deviated
изгаживать,"befoul, spoil utterly"
изгаляться,"mock, scoff"
изглаживать,efface
изгнанница,exile
изгрызать,"nibble, gnaw"
издательница,publisher
издёрганный,"run down, harried, worried, harassed"
издёргивать,"pull to pieces, worry, harass, overstrain"
издерживать,"expend, spend"
издольщик,"metayer, share-cropper"
издыхать,"die, peg out, croak"
изжёванный,"crumpled, hackneyed"
изложница,mould
изломаться,"break, have highly affected manners"
излучаться,emanate
измарать,soil
измараться,soil oneself
изматываться,worn out
измаяться,be exhausted
измельчание,lowering of moral standards
изменница,traitress
изменнический,"treacherous, traitorous"
изменяемый,"variable, mutable"
измождение,emaciation
изморить,"wear out, exhaust"
изморось,sleet
измочаливать,"reduce to shreds, worry to death"
измочаливаться,"become frayed, be all in shreds, be all in, be played out, go to pieces"
измызгивать,soil all over
измыливать,use up
измыливаться,be used up
измышлять,"contrive, fabricate"
измять,"rumple, crumple"
изнашиваемость,amortization
изнашивание,wear
изнашиваться,"wear out, be used up, be played out"
изнеженность,"delicacy, effeminacy, susceptibility"
изнеживать,"render delicate, render effeminate, coddle, pamper"
изнеможённый,exhausted
изнервничаться,"be overstrung, get into a state of nerves"
изничтожать,"destroy, wipe out"
изобара,isobar
изобличение,exposure
изобличитель,accuser
изобличительный,"accusing, damning"
изобретательница,inventress
изобретательский,"Adjective of изобретатель, inventive"
изобретательство,invention
изоглосса,isoglottic line
изогона,isogonic line
изодраться,"be all torn, be in shreds"
изоклина,isoclinal line
изолироваться,isolate oneself
изолировочный,insulating
изоляционизм,isolationism
изоляционист,isolationist
изоляционистский,isolationist
изомер,isomer
изомерный,isomeric
изометрический,isometric
изоморфный,isomorphous
изорванный,"tattered, torn, ragged"
изорваться,"be in tatters, be torn to tatters"
изотера,isothere
изотерма,isotherm
изотермический,isothermal
изохронный,isochronous
изощрение,refinement
изощрённость,refinement
изощрять,"cultivate, refine, make perfect"
израильтянка,Israeli
израненный,covered with wounds
изрезывать,"cut up, cut to pieces, indent"
изрешечивать,"pierce with holes, riddle"
изрешечиваться,be all holes
изрисовывать,"cover with drawings, use up"
изуверский,cruel
изуверство,"wild fanaticism, barbarity, fanatical cruelty"
изуверствовать,"behave like a monster, monsters, of cruelty"
изувечивать,"mutilate, maim"
изукрашивать,"adorn, decorate"
изуродованный,"disfigured, mutilated, maimed"
изустный,"oral, transmitted orally"
изъедать,"eat away, corrode"
изъеденный,"eaten, corroded"
изъезженный,rutted
изъязвлённый,ulcered
изъязвлять,ulcerate
изысканность,refinement
изыскательский,prospecting
изюмина,raisin
иконоборец,iconoclast
иконоборчество,iconoclasm
иконография,iconography
иконописец,icon-painter
иконопись,icon-painting
икрина,grain of roe
икристый,"roed, containing much roe"
икриться,spawn
икрометание,spawning
икры,calves
икряной,"hard-roed, made from roe"
икс-лучи,X-rays
илистый,"silt-coverd, silty, oozy, containing silt"
иллюминация,illumination
иллюминовать,illuminate
иллюстративный,illustrative
иллюстратор,illustrator
иллюстрированный,illustrated
иловатый,"oozy, silty"
илот,helot
ильм,elm
имажинизм,imagism
имажинист,imagist
именуемый,"called, by name"
имеющийся,available
имитатор,mimic
иммигрантка,immigrant
иммигрировать,immigrate
иммобилизовать,immobilize
иммортель,immortelle
иммунизировать,immunize
иммунолог,immunologist
иммунологический,immunological
иммунология,immunology
императивный,imperative
империал,imperial
империалистский,imperialist
импресарио,impresario
импрессионизм,impressionism
импрессионист,impressionist
импрессионистический,impressionistic
импрессионистский,impressionistic
импровизатор,"improvisator, improvisatrice"
импровизаторский,improvisatory
инвариантность,invariance
инвариантный,invariant
инвентаризировать,"inventory, take stock"
инвентаризовать,"inventory, take stock"
инвертировать,invert
ингалятор,inhaler
индетерминизм,indeterminism
индетерминист,indeterminist
индианка,Indian woman
индивидуализация,individualization
индивидуализировать,individualize
индивидуалист,individualist
индивидуалистический,individualistic
индиго,"indigo, indigo plant"
индикаторный,"Adjective of индикатор, indicated"
индикация,indication
индикт,indiction
индифферентизм,indifferentism
индифферентность,indifference
индогерманский,Indo-Germanic
индоевропейский,Indo-European
индолог,specialist in Indian culture
индология,indology
индонезиец,Indonesian
индонезийка,Indonesian
индонезийский,Indonesian
индоссамент,"endorsement, indorsation"
индоссант,endorser
индоссат,endorsee
индоссировать,endorse
индуизм,Hinduism
индуктивность,inductance
индуктивный,inductive
индульгенция,indulgence
индуска,"Hindu, Hindoo"
индусский,"Hindu, Hindoo"
индустриализировать,industrialize
индюшонок,turkey-poult
инертность,"inertness, sluggishness, passivity"
инжектор,injector
инженер-кораблестроитель,naval architect
инженер-механик,mechanical engineer
инженер-электрик,electrical engineer
инженер-металлург,metallurgical engineer
инжирный,fig
инистый,"rimy, covered with hoar-frost"
инициалы,initials
инкассация,"collection, encashment"
инкассировать,"collect, encash"
инкассо,encashment
инквизиторский,inquisitorial
инкорпорация,incorporation
инкорпорировать,incorporate
инкриминировать,"incriminate, charge"
инкрустация,"inlaid work, inlay, incrustation"
инкубаторный,incubator
инкубация,incubation
инкунабулы,incunabula
иннервация,innervation
иноверческий,heterodox
иноземка,"foreigner, stranger"
инокулировать,inoculate
инокуляция,inoculation
иноплеменник,member of a different tribe
иноплеменница,member of a different tribe
иноплеменный,"of another tribe, foreign"
иносказание,allegory
иноходец,ambler
иноходь,amble
иночество,"monasticism, monastic life"
инсектицид,insecticides
инсинуация,insinuation
инсинуировать,insinuate
инсоляция,insolation
инспиратор,inciter
инспирация,"inspiration, incitation"
инспирированный,"incited, inspired"
инспирировать,"incite, inspire"
институтка,boarding-school girl
инструктивный,instructional
инструктирование,"instructing, briefing"
инструменталист,instrumentalist
инструменталистка,instrumentalist
инструментальщик,toolmaker
инструментировать,"instrument, arrange for instruments"
инструментовать,"instrument, arrange for instruments"
инструментовка,instrumentation
инсургент,insurgent
интегратор,integrator
интегрирование,integration
интеллектуальность,intellectuality
интеллигентка,intellectual
интендантский,service corps
интендантство,"quartermaster service, intendance"
интенсификация,intensification
интенсифицировать,intensify
интервидение,intervision
интервьюировать,interview
интерлюдия,interlude
интермедия,interlude
интермеццо,intermezzo
интернационализация,internationalization
интернационализировать,internationalize
интернационалистический,internationalist
интернирование,internment
интернированный,internee
интернировать,intern
интерпеллировать,interpellate
интерпелляция,interpellation
интерполировать,"interpolate, intercalate"
интерполяция,"interpolation, intercalation"
интерференция,interference
интимничать,be too confidential
интимность,intimacy
интонировать,"modulate, intone"
интриганка,"intrigante, plotter"
интриганство,intriguing
интродукция,introduction
интроспекция,introspection
интуитивизм,"intuitionalism, intuitionism"
инфантильность,infantilism
инфильтрация,infiltration
инфинитив,infinitive
информант,informant
информбюро,information bureau
информированность,"being in the know, being kept informed"
информироваться,obtain information
инфразвуковой,infrasonic
инфузория,infusorian
ионизация,ionization
ионизировать,ionize
ионийский,"Ionic, Ionian"
ионический,"Ionic, Ionian"
ионосфера,ionosphere
ионосферный,ionospheric
иорданец,Jordanian
иорданка,Jordanian
иорданский,Jordanian
ипохондрик,hypochondriac
иприт,"mustard gas, yperite"
иракец,Iraqi
иранец,Iranian
иранка,Iranian
иридий,iridium
ирис,"iris, flag, toffee"
ириска,a toffee
иррадиация,irradiation
ирреальный,unreal
иррегулярный,irregular
ирригатор,"irrigator, irrigation expert"
ирригация,irrigation
искалеченный,"crippled, mutilated, maimed"
искалывать,"prick all over, stab through and through"
